sector, process, subprocess, phase, activity
GOVERNMENT PROCESSES, STRATEGIC PLANNING, DEFINITION OF BUSINESS MODEL ,,
GOVERNMENT PROCESSES, STRATEGIC PLANNING, ANALYSIS OF THE RESULTS ACHIEVED,
SUPPORT PROCESSES, SAFETY MANAGEMENT, MANAGEMENT OF IT SECURITY ACCIDENTS, CLOSING
SUPPORT PROCESSES, SAFETY MANAGEMENT, LOG MANAGEMENT, IDENTIFICATION
SUPPORT PROCESSES, SAFETY MANAGEMENT, LOG MANAGEMENT, CLASSIFICATION
SUPPORT PROCESSES, SAFETY MANAGEMENT, LOG MANAGEMENT, DEFINITION OF REQUIREMENTS
SUPPORT PROCESSES, SAFETY MANAGEMENT, LOG MANAGEMENT, GENERATION
SUPPORT PROCESSES, SAFETY MANAGEMENT, LOG MANAGEMENT, TREATMENT
SUPPORT PROCESSES, SECURITY MANAGEMENT, LOG MANAGEMENT, CANCELLATION / DISMISSION
SUPPORT PROCESSES, SAFETY MANAGEMENT, MANAGEMENT OF USER INFORMATION, DEFINITION OF SECURITY REQUIREMENTS
SUPPORT PROCESSES, SAFETY MANAGEMENT, MANAGEMENT OF USER INFORMATION, IMPLEMENTATION OF SAFETY MEASURES
SUPPORT PROCESSES, SAFETY MANAGEMENT, USER INFORMATION MANAGEMENT, APPLICATION CENSUS
SUPPORT PROCESSES, SAFETY MANAGEMENT, USER INFORMATION MANAGEMENT, IDENTIFICATION OF CRITICISMS
SUPPORT PROCESSES, SAFETY MANAGEMENT, MANAGEMENT OF USER INFORMATION, DEFINITION OF SECURITY REQUIREMENTS
SUPPORT PROCESSES, SAFETY MANAGEMENT, USER INFORMATION MANAGEMENT, IMPLEMENTATION OF SAFETY MEASURES AND EXCEPTION MANAGEMENT
SUPPORT PROCESSES, SAFETY MANAGEMENT, USER INFORMATION MANAGEMENT, CHECKING AND MONITORING
SUPPORT PROCESSES, SAFETY MANAGEMENT, HARDENING AND PATCH MANAGEMENT MANAGEMENT, HARDENING: TEMPLATE DESIGN AND CONFIGURATION
SUPPORT PROCESSES, SAFETY MANAGEMENT, HARDENING AND PATCH MANAGEMENT MANAGEMENT, HARDENING: SAFETY CHECK
SUPPORTING PROCESSES, SAFETY MANAGEMENT, HARDENING AND PATCH MANAGEMENT MANAGEMENT, HARDENING: FEEDBACK AND HARDENING TEMPLATE / CHECKLIST UPDATE
SUPPORT PROCESSES, SAFETY MANAGEMENT, HARDENING AND PATCH MANAGEMENT MANAGEMENT, HARDENING: MONITORING, VULNERABILITY AND TEMPLE UPDATE
SUPPORT PROCESSES, SAFETY MANAGEMENT, HARDENING AND PATCH MANAGEMENT MANAGEMENT, PATCH MANAGEMENT: APPLICABLE ANALYSIS OF VENDOR SIGNALS
SUPPORT PROCESSES, SAFETY MANAGEMENT, HARDENING AND PATCH MANAGEMENT MANAGEMENT, PATCH MANAGEMENT: PATH PLANNING AND TESTING
SUPPORT PROCESSES, SAFETY MANAGEMENT, HARDENING AND PATCH MANAGEMENT MANAGEMENT, PATCH MANAGEMENT: PATCH INSTALLATION AND MONITORING
SUPPORTING PROCESSES, TRANSVERSAL REGULATORY ADJUSTMENTS AND SPECIFIC REGULATIONS, TRANSPARENCY, REGULATORY IDENTIFICATION
SUPPORT PROCESSES, TRANSVERSAL REGULATORY ADJUSTMENTS AND SPECIFIC REGULATIONS, TRANSPARENCY, ASSESSMENT
SUPPORT PROCESSES, TRANSVERSAL REGULATORY ADJUSTMENTS AND SPECIFIC REGULATIONS, TRANSPARENCY, ADVICE
SUPPORTING PROCESSES, TRANSVERSAL REGULATORY ADJUSTMENTS AND SPECIFIC REGULATIONS, TRANSPARENCY, MONITORING
SUPPORT PROCESSES, TRANSVERSAL REGULATORY ADJUSTMENTS AND SPECIFIC REGULARS, PRIVACY, REGULATORY IDENTIFICATION
SUPPORT PROCESSES, TRANSVERSAL REGULATIONS AND REGULAR ADJUSTMENT SPECIFICATIONS, PRIVACY, ASSESSMENT
SUPPORT PROCESSES, TRANSVERSAL REGULATORY ADJUSTMENTS AND SPECIFIC REGULARS, PRIVACY, ADVICE
SUPPORT PROCESSES, TRANSVERSAL REGULATORY ADJUSTMENTS AND SPECIFIC REGULARS, PRIVACY, MONITORING
SUPPORT PROCESSES, CUSTOMER SERVICE, GENERAL CUSTOMERS, OPENING POSITION IN ANAGRAPH
SUPPORT PROCESSES, CUSTOMER SERVICE, GENERAL CUSTOMERS, VARIATION POSITION IN ANAGRAPH
SUPPORT PROCESSES, CUSTOMER SERVICE, GENERAL CUSTOMERS CLOSURE, CLOSING POSITION IN ANAGRAPH
SUPPORT PROCESSES, CUSTOMER SERVICE, MANAGEMENT OF THE RELATIONSHIP WITH THE CUSTOMER, COLLECTION OF INFORMATION AND EVENTS ON CUSTOMERS
SUPPORT PROCESSES, CUSTOMER SERVICE, MANAGEMENT OF THE RELATIONSHIP WITH THE CUSTOMER, MANAGEMENT OF OPERATIONAL COMMUNICATIONS
SUPPORT PROCESSES, CUSTOMER SERVICE, MANAGEMENT OF THE RELATIONSHIP WITH THE CUSTOMER, HELP DESK CUSTOMERS
SUPPORT PROCESSES, CUSTOMER SERVICE, MANAGEMENT OF THE RELATIONSHIP WITH THE CUSTOMER, COLLECTION SUGGESTIONS AND SIGNALS OF CUSTOMERS
SUPPORT PROCESSES, CUSTOMER SERVICE, CONTEST MANAGEMENT, RECEPTION AND CORRESPONDENCE MANAGEMENT
SUPPORT PROCESSES, CUSTOMER SERVICE, CONTESTATION MANAGEMENT, CONTESTATION MANAGEMENT AND CLARIFICATION REQUESTS
SUPPORT PROCESSES, CUSTOMER SERVICE, CONTESTATION MANAGEMENT, MONITORING, REPORTING AND PUBLICATION OF COMPLAINTS AND COMPLAINTS

